Feature,Importance
proto_pup,2.3036765046231865e-05
proto_argus,2.2806423837429154e-05
proto_chaos,2.158118689947253e-05
proto_ip,2.131000942379725e-05
proto_rvd,1.977535134600351e-05
service_ssh,1.8666045400703742e-05
proto_icmp,1.734280523791998e-05
proto_ipnip,1.657394593064232e-05
service_radius,1.5177969516923463e-05
proto_cbt,1.4780637833426488e-05
proto_ggp,1.397849852346967e-05
state_ECO,1.2891909071545782e-05
proto_st2,1.0894294692847967e-05
proto_mux,1.02641086158638e-05
state_RST,8.689890944306386e-06
proto_rtp,0.0
state_CLO,0.0
state_PAR,0.0
state_URN,0.0
state_no,0.0
